YEAR,Intensification Duration,9-year average Int Duration
1951,1.3154464049439412,
1952,1.310448679703272,
1953,1.8309166642586485,
1954,0.830475616668385,
1955,1.643374620749455,1.5665892415862335
1956,1.663844074507627,1.569658396400653
1957,1.596010647180853,1.6212965014998524
1958,2.254185691586372,1.5788620243181626
1959,1.6546007746775493,1.6653059963098567
1960,1.343068798273717,1.7089377795935674
1961,1.7751916255960665,1.688579483580403
1962,1.4490063696234405,1.6272506569413618
1963,1.6084713645936322,1.51254194205361
1964,2.036060670302854,1.4971671053631332
1965,1.4806194103891488,1.551391720105576
1966,1.0440512074294799,1.5772984876000002
1967,1.221807257596603,1.5778411546516447
1968,1.5162272444632596,1.5735513564520978
1969,1.8310903309557034,1.463681867467982
1970,2.0083525330458847,1.441363867784767
1971,1.4538903730882387,1.421944087863092
1972,1.5698631807977108,1.5093972937707096
1973,1.0472352694458096,1.503465285948848
1974,1.2797574132402167,1.452838299472961
1975,0.8692731881344046,1.429928349106958
1976,2.008886110765161,1.4657439502502194
1977,1.462839174066506,1.443510293579273
1978,1.3754474526727185,1.5268819649269583
1979,1.8021629797518612,1.5225463203636425
1980,1.7762307833775897,1.6103438770290133
1981,1.3697602707591916,1.6098392254814118
1982,1.7975803115749793,1.627948502221805
1983,1.2407366121703738,1.6592310517311437
1984,1.6594511981227418,1.5774722924936686
1985,2.0043442468367476,1.532968521609237
1986,1.6258226647300438,1.5648422295690956
1987,1.6569903982567666,1.5539824054483529
1988,1.0663341466145841,1.6670650912148568
1989,1.3756968454177052,1.624553154176583
1990,1.6566236423979197,1.59541616589552
1991,1.6998418944882967,1.5840304226963622
1992,2.258480784068907,1.57880541540881
1993,1.2768437647782775,1.6894542937458439
1994,1.7421113523071796,1.6709210271762727
1995,1.5233509759376223,1.6040073668376076
1996,1.6099653326687986,1.6212262832355515
1997,2.0621740516478893,1.5742552280397528
1998,1.2088974462915627,1.6766019004336563
1999,1.054400699349935,1.6801895339329131
2000,1.8548121420697918,1.7232001107380963
2001,1.8357412873067207,1.7161361221588458
2002,2.1979638163234085,1.6755193488061784
2003,1.7744000538004912,1.6991266955002864
2004,1.9104461671842727,1.735023097214664
2005,1.5463894354555425,1.6658216947322741
2006,1.6966230914738845,1.6091072083161129
2007,1.4213635665385351,
2008,1.3774683147793338,
2009,1.231999519728281,
2010,1.3253109095612672,
