year,sst
1951,14.20520147351992
1952,14.259168980039941
1953,14.307332572791434
1954,14.190281067996544
1955,14.167919894682823
1956,14.185685665082016
1957,14.354033925774782
1958,14.37259802635439
1959,14.348021912168086
1960,14.305202004802881
1961,14.31782357897971
1962,14.272159433766591
1963,14.315677970342222
1964,14.17196639627243
1965,14.221667027807028
1966,14.291571004139909
1967,14.27544100120077
1968,14.278325837195458
1969,14.378519521189517
1970,14.286611783924377
1971,14.151883158268022
1972,14.298343554701713
1973,14.257400915261394
1974,14.138342334798216
1975,14.141700525601102
1976,14.176703126243897
1977,14.296044318856588
1978,14.21435790700228
1979,14.385843776085569
1980,14.312286007592563
1981,14.294285165297213
1982,14.365128131448298
1983,14.344022372023954
1984,14.356530120797252
1985,14.296662680229907
1986,14.272476684550155
1987,14.64652588352627
1988,15.017041233423818
1989,14.857415028279686
1990,14.725135871222427
1991,14.691623051060072
1992,14.759970204549695
1993,14.800377492269977
1994,14.864770456146474
1995,14.857044949429051
1996,14.760276170786089
1997,14.748511897590609
1998,14.67965444847547
1999,14.656256730646952
2000,14.54420440282068
2001,14.683214689155125
2002,14.65591397663767
2003,14.599937318783768
2004,14.81716476627758
2005,14.868556142029284
2006,14.659680944290342
2007,14.641233975759128
2008,14.594765939784248
2009,14.865211983594907
2010,14.743173929574056
