YEAR,AveInt,TIME
1951,2.554146353119969,1951-01-01
1952,3.9626866997759045,1952-01-01
1953,3.218996637070302,1953-01-01
1954,5.120681623282281,1954-01-01
1955,3.747723192690614,1955-01-01
1956,2.198596196194524,1956-01-01
1957,2.977845496020612,1957-01-01
1958,2.567646496950388,1958-01-01
1959,4.530203768580882,1959-01-01
1960,3.283308639098922,1960-01-01
1961,3.768210394904357,1961-01-01
1962,4.066808773024911,1962-01-01
1963,3.405262671652728,1963-01-01
1964,3.6308320691137244,1964-01-01
1965,4.315654007077901,1965-01-01
1966,3.3798148639319656,1966-01-01
1967,3.8574692060482714,1967-01-01
1968,4.24001399470925,1968-01-01
1969,2.459003679168574,1969-01-01
1970,3.2917814510784393,1970-01-01
1971,3.7575862243989873,1971-01-01
1972,2.8138174181925173,1972-01-01
1973,3.4842863416666674,1973-01-01
1974,1.8742113617586122,1974-01-01
1975,5.358791666666667,1975-01-01
1976,4.126231622589532,1976-01-01
1977,2.8084089360269364,1977-01-01
1978,2.5477226666666675,1978-01-01
1979,3.4764228547008553,1979-01-01
1980,3.841162468325792,1980-01-01
1981,3.40740632905983,1981-01-01
1982,2.9256000375816997,1982-01-01
1983,5.218369452380953,1983-01-01
1984,2.9869518792596295,1984-01-01
1985,2.126738545138889,1985-01-01
1986,3.0130814520609324,1986-01-01
1987,3.615296055324884,1987-01-01
1988,4.268660333333334,1988-01-01
1989,3.4139782739156272,1989-01-01
1990,3.1183829430555563,1990-01-01
1991,3.8793682191358037,1991-01-01
1992,2.9781490291012336,1992-01-01
1993,3.41795224547397,1993-01-01
1994,3.1234759318181817,1994-01-01
1995,3.685874340909091,1995-01-01
1996,3.406630774480921,1996-01-01
1997,4.113880508789723,1997-01-01
1998,5.364665726762821,1998-01-01
1999,3.0982564880952386,1999-01-01
2000,3.796920965007216,2000-01-01
2001,3.087890928731763,2001-01-01
2002,3.1663273926046176,2002-01-01
2003,3.587226177777778,2003-01-01
2004,4.211583024635495,2004-01-01
2005,3.8830388411033403,2005-01-01
2006,5.328560800990676,2006-01-01
2007,3.720496045634921,2007-01-01
2008,4.784941633333333,2008-01-01
2009,5.27291181060606,2009-01-01
2010,2.5126362325174827,2010-01-01
